spain nationalities   {'weight': 3}
spain central         {'weight': 3}
spain biggest         {'weight': 3}
spain valencia        {'weight': 3}
spain head            {'weight': 3}
spain ceded           {'weight': 3}
spain ceuta           {'weight': 3}
spain regional        {'weight': 2}
spain unin            {'weight': 2}
spain therefore       {'weight': 2}
spain revenues        {'weight': 2}
spain volcano         {'weight': 2}
spain tree            {'weight': 2}
spain second          {'weight': 2}
spain letter          {'weight': 2}
spain nominated       {'weight': 2}
spain result          {'weight': 2}
spain accounting      {'weight': 2}
spain winter          {'weight': 2}
spain subsaharan      {'weight': 2}
spain prime           {'weight': 2}
spain former          {'weight': 2}
spain renewable       {'weight': 2}
spain trains          {'weight': 2}
spain industry        {'weight': 2}
spain firstorder      {'weight': 2}
spain large           {'weight': 2}
spain franco          {'weight': 2}
spain november        {'weight': 2}
spain sent            {'weight': 2}
spain register        {'weight': 2}
spain geographic      {'weight': 2}
spain research        {'weight': 2}
spain croatia         {'weight': 2}
spain len             {'weight': 2}
spain budget          {'weight': 2}
spain monaco          {'weight': 2}
spain location        {'weight': 2}
spain specifically    {'weight': 2}
spain diverse         {'weight': 2}
spain age             {'weight': 2}
spain assembly        {'weight': 2}
spain great           {'weight': 2}
spain residents       {'weight': 2}
spain blocks          {'weight': 2}
spain tied            {'weight': 2}
spain producer        {'weight': 2}
spain 2014            {'weight': 2}
spain 2010            {'weight': 2}
spain 2013            {'weight': 2}
spain 2012            {'weight': 2}
spain britons         {'weight': 2}
spain mainland        {'weight': 2}
spain system          {'weight': 2}
spain comunidades     {'weight': 2}
spain excellent       {'weight': 2}
spain islmicas        {'weight': 2}
spain 0               {'weight': 2}
spain program         {'weight': 2}
spain must            {'weight': 2}
spain 1492            {'weight': 2}
spain migrants        {'weight': 2}
spain autonomies      {'weight': 2}
spain governments     {'weight': 2}
spain 16              {'weight': 2}
spain addition        {'weight': 2}
spain rate            {'weight': 2}
spain subdivided      {'weight': 2}
spain muslim          {'weight': 2}
spain french          {'weight': 2}
spain abandon         {'weight': 2}
spain study           {'weight': 2}
spain mlaga           {'weight': 2}
spain identity        {'weight': 2}
spain settled         {'weight': 2}
spain family          {'weight': 2}
spain claim           {'weight': 2}
spain islet           {'weight': 2}
spain alborn          {'weight': 2}
spain infrastructure  {'weight': 2}
spain flag            {'weight': 2}
spain del             {'weight': 2}
spain council         {'weight': 2}
spain court           {'weight': 2}
spain democracy       {'weight': 2}
spain inhabitants     {'weight': 2}
spain minority        {'weight': 2}
spain ejrcito         {'weight': 2}
spain waters          {'weight': 2}
spain president       {'weight': 2}
spain compulsory      {'weight': 2}
spain padrn           {'weight': 2}
spain enter           {'weight': 2}
spain mainly          {'weight': 2}
spain return          {'weight': 2}
spain views           {'weight': 2}
spain demographics    {'weight': 2}
spain half            {'weight': 2}
spain equality        {'weight': 2}
spain rocks           {'weight': 2}
spain mancha          {'weight': 2}
spain espaa           {'weight': 2}
spain latin           {'weight': 2}
spain asturias        {'weight': 2}
spain 83              {'weight': 2}
spain agriculture     {'weight': 2}
spain special         {'weight': 2}
spain 141             {'weight': 2}
spain integrated      {'weight': 2}
spain perejil         {'weight': 2}
spain members         {'weight': 2}
spain crown74         {'weight': 2}
spain municipality    {'weight': 2}
spain approximately   {'weight': 2}
spain reached         {'weight': 2}
spain destinations    {'weight': 2}
spain teide           {'weight': 2}
spain july            {'weight': 2}
spain 19              {'weight': 2}
spain aims            {'weight': 2}
spain legacy          {'weight': 2}
spain aragon          {'weight': 2}
spain cantabria       {'weight': 2}
spain well            {'weight': 2}
spain mountain        {'weight': 2}
spain organization    {'weight': 2}
spain america         {'weight': 2}
spain treasures       {'weight': 2}
spain unescos         {'weight': 2}
spain 8               {'weight': 2}
spain marbella        {'weight': 2}
spain areas           {'weight': 2}
spain bay             {'weight': 2}
spain felipe          {'weight': 2}
spain uninhabited     {'weight': 2}
spain diplomatic      {'weight': 2}
spain europeans       {'weight': 2}
spain outside         {'weight': 2}
spain numerous        {'weight': 2}
spain terms           {'weight': 2}
spain historical      {'weight': 2}
spain last            {'weight': 2}
spain became          {'weight': 2}
spain reside          {'weight': 2}
spain described       {'weight': 2}
spain concerning      {'weight': 2}
spain minister        {'weight': 2}
spain 166             {'weight': 2}
spain granted         {'weight': 2}
spain almost          {'weight': 2}
spain vi              {'weight': 2}
spain strait          {'weight': 2}
spain 34              {'weight': 2}
spain grown           {'weight': 2}
spain powers          {'weight': 2}
spain administration  {'weight': 2}
spain member          {'weight': 2}
spain monarch         {'weight': 2}
spain several         {'weight': 2}
spain isle            {'weight': 2}
spain used            {'weight': 2}
spain centuries       {'weight': 2}
spain 1978            {'weight': 2}
spain nevertheless    {'weight': 2}
spain constitutional  {'weight': 2}
spain almera          {'weight': 2}
spain stating         {'weight': 2}
spain less            {'weight': 2}
spain executive       {'weight': 2}
spain based           {'weight': 2}
spain biscay          {'weight': 2}
spain extensive       {'weight': 2}
spain worlds          {'weight': 2}
spain catalan         {'weight': 2}
spain culturally      {'weight': 2}
spain belgium         {'weight': 2}
spain vibrant         {'weight': 2}
spain popular         {'weight': 2}
spain served          {'weight': 2}
spain security        {'weight': 2}
spain portuguese      {'weight': 2}
spain 1700000         {'weight': 2}
spain recorded        {'weight': 2}
spain connecting      {'weight': 2}
spain expressing      {'weight': 2}
spain highspeed       {'weight': 2}
spain demonstrated    {'weight': 2}
spain benidorm        {'weight': 2}
spain post            {'weight': 2}
spain road            {'weight': 2}
spain own             {'weight': 2}
spain coastal         {'weight': 2}
spain live            {'weight': 2}
spain 163             {'weight': 2}
spain perpetuity      {'weight': 2}
spain landscapes      {'weight': 2}
spain called          {'weight': 2}
spain supreme         {'weight': 2}
spain universal       {'weight': 2}
spain general         {'weight': 2}
spain film            {'weight': 2}
spain 46              {'weight': 2}
spain administered    {'weight': 2}
spain claiming        {'weight': 2}
spain 2000            {'weight': 2}
